	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	1	1680.4917840319713	1680.4917840319713	1680.4917840319713	1680.4917840319713
1	2	1594.75295999899	1594.75295999899	1668.617441944933	1594.75295999899
2	3	1504.3824094693935	1504.3824094693935	1652.034317993156	1504.3824094693935
3	4	1437.4710333169899	1437.4710333169899	1638.8905482365335	1437.6420805538207
4	5	1399.5054387519367	1399.5054387519367	1623.0791599356917	1399.5054387519367
5	6	1377.9502171477432	1377.9502171477432	1611.5033230329013	1377.9502171477432
6	7	1341.772265229104	1341.772265229104	1589.3104397165025	1343.5948630155453
7	8	1307.854648273676	1307.854648273676	1573.4990514156607	1309.56925575173
8	9	1296.2021859001643	1296.2021859001643	1562.6362709244609	1297.98563641059
9	10	1279.3897174238498	1279.3897174238498	1551.5909099072733	1281.1043249019037
