	number_vectorpairs	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	0	0.0	0.0	0.0	0.0
1	100000	0.2688586711883545	0.2348635196685791	0.1849040985107422	0.2368619441986084
2	200000	0.49570369720458984	0.4687323570251465	0.36779046058654785	0.45975542068481445
3	300000	0.7755706310272217	0.701613187789917	0.5526704788208008	0.6696131229400635
4	400000	1.0453901290893555	0.9384644031524658	0.7415776252746582	0.9864242076873779
5	500000	1.284266710281372	1.1693189144134521	0.9314675331115723	1.189321517944336
6	600000	1.5321452617645264	1.417191505432129	1.1103663444519043	1.407214641571045
7	700000	1.7999672889709473	1.6910483837127686	1.3012762069702148	1.6350486278533936
8	800000	2.100787878036499	1.9069135189056396	1.4791371822357178	1.770989179611206
9	900000	2.321673631668091	2.1627635955810547	1.686037302017212	1.9489059448242188
10	1000000	2.5295703411102295	2.415607452392578	1.8749301433563232	2.184734344482422
