	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	1	1.938080575008712	1.9795458692111372	1.5497853314062418	1.9588765255246348
1	2	1.3613427404386729	1.3653928161734352	1.2360636044009274	1.3843586262457201
2	3	0.8291992370726778	0.8206907158624265	0.9223418773956129	0.7817071184969617
3	4	0.16918037317701923	0.11807379432057868	0.4831314595881728	0.17128185051311484
4	5	-0.25624950631791377	-0.30559136668264925	0.16940973258285838	-0.29329286829812096
5	6	-0.3621731313572959	-0.38931994295542943	-0.14431199442245604	-0.3906499607661329
6	7	-0.6897064230316106	-0.7028536861534151	-0.5835224122298962	-0.6638421061706683
7	8	-0.8991358027648884	-0.8867408678047739	-0.8972441392352106	-0.8759547068709378
8	9	-0.9810497534695714	-0.9449993116209672	-1.210965866240525	-0.9596151741628416
9	10	-1.1094883087558198	-1.0541980203503343	-1.5246875932458395	-1.1128693045117273
