	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	1	48862.75237961298	48862.75237961298	48862.75237961298	48862.75237961298
1	2	47812.0428264436	47812.0428264436	48850.878037525945	47812.0428264436
2	3	47036.06199005805	47036.06199005805	48834.29491357417	47036.06199005805
3	4	45682.734911062864	45682.734911062864	48819.69514756287	45702.73208865471
4	5	44934.19854874129	44934.19854874129	48803.88375926202	44964.258506711434
5	6	44745.32279339811	44745.32279339811	48792.30792235923	44758.65119536947
6	7	44105.27209981528	44105.27209981528	48763.847131038616	44253.06613555851
7	8	43818.44935357661	43818.44935357661	48748.035742737775	43952.182116532764
8	9	43654.43625651121	43654.43625651121	48737.17296224657	43775.59220009503
9	10	43474.12821403259	43474.12821403259	48726.12760122939	43581.23523240378
