	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	1	1.0	1.0000000000000009	1.0	1.0
1	2	0.8573948544019849	0.8591290195045351	0.9050641377827517	0.8529492714560263
2	3	0.7511177312289199	0.7392444150059747	0.8880991030748575	0.7432394841040804
3	4	0.6194445469814447	0.6030903171198654	0.7195496646094739	0.5745864732933779
4	5	0.5086196200705828	0.5175605796239635	0.5558004749012682	0.4324641248141905
5	6	0.3954080018860999	0.37064164039619296	0.4237852621354179	0.3605647828874776
6	7	0.2902652847559679	0.27198088418889643	0.2873804413074126	0.16530503953492293
7	8	0.17654671754884887	0.16350126277362076	0.2006698094337267	0.0904165831912227
8	9	0.08575733778484462	0.07436281016945578	0.1758355551700035	0.026213197228385
9	10	0.0	0.0	0.0	0.0
